year,hours_below_cut_in,hours_between_cut_in_and_out,hours_above_cut_out
2015,23,2469,6268
2016,43,2749,5992
2017,33,3070,5657
2018,37,3526,5197
2019,29,3153,5578
2020,31,3269,5484
2021,37,3824,4899
2022,33,3181,5546
2023,59,3562,5139
