year,hours_below_cut_in,hours_between_cut_in_and_out,hours_above_cut_out
2015,28,4727,4005
2016,29,5272,3483
2017,27,3963,4770
2018,47,4027,4686
2019,38,3949,4773
2020,38,3436,5310
2021,36,4067,4657
2022,35,4169,4556
2023,48,3398,5314
