year,hours_below_cut_in,hours_between_cut_in_and_out,hours_above_cut_out
2015,22,3531,5207
2016,42,3980,4762
2017,28,4444,4288
2018,36,4840,3884
2019,27,4580,4153
2020,29,4407,4348
2021,31,5034,3695
2022,29,4462,4269
2023,50,4843,3867
