year,hours_below_cut_in,hours_between_cut_in_and_out,hours_above_cut_out
2015,44,2448,6268
2016,48,2729,6007
2017,43,2466,6251
2018,53,2375,6332
2019,19,2173,6568
2020,54,2502,6228
2021,29,2877,5854
2022,36,2448,6276
2023,44,2671,6045
