year,hours_below_cut_in,hours_between_cut_in_and_out,hours_above_cut_out
2015,25,2432,6303
2016,39,3127,5618
2017,55,2797,5908
2018,48,2805,5907
2019,51,2648,6061
2020,40,2575,6169
2021,37,3016,5707
2022,37,3021,5702
2023,34,2509,6217
