year,hours_below_cut_in,hours_between_cut_in_and_out,hours_above_cut_out
2015,41,3272,5447
2016,46,3827,4911
2017,40,3372,5348
2018,49,3382,5329
2019,18,3206,5536
2020,53,3342,5389
2021,23,3856,4881
2022,31,3417,5312
2023,38,3691,5031
